From File,To File
examples/loadables/truefalse.c,builtins/common.h
examples/loadables/truefalse.c,command.h
examples/loadables/truefalse.c,config.h
examples/loadables/truefalse.c,shell.h
examples/loadables/tty.c,builtins.h
examples/loadables/tty.c,builtins/bashgetopt.c
examples/loadables/tty.c,builtins/bashgetopt.h
examples/loadables/tty.c,builtins/common.c
examples/loadables/tty.c,builtins/common.h
examples/loadables/tty.c,command.h
examples/loadables/tty.c,config.h
examples/loadables/tty.c,shell.h
examples/loadables/uname.c,bashtypes.h
examples/loadables/uname.c,builtins.h
examples/loadables/uname.c,builtins/bashgetopt.c
examples/loadables/uname.c,builtins/bashgetopt.h
examples/loadables/uname.c,builtins/common.c
examples/loadables/uname.c,builtins/common.h
examples/loadables/uname.c,command.h
examples/loadables/uname.c,config.h
examples/loadables/uname.c,shell.h
examples/loadables/unlink.c,builtins.h
examples/loadables/unlink.c,builtins/common.c
examples/loadables/unlink.c,builtins/common.h
examples/loadables/unlink.c,command.h
examples/loadables/unlink.c,config.h
examples/loadables/unlink.c,mksyntax.c
examples/loadables/unlink.c,shell.h
examples/loadables/whoami.c,builtins.h
examples/loadables/whoami.c,builtins/bashgetopt.c
examples/loadables/whoami.c,builtins/bashgetopt.h
examples/loadables/whoami.c,builtins/common.c
examples/loadables/whoami.c,builtins/common.h
examples/loadables/whoami.c,command.h
examples/loadables/whoami.c,config.h
examples/loadables/whoami.c,shell.c
examples/loadables/whoami.c,shell.h
execute_cmd.c,bashansi.h
execute_cmd.c,bashintl.h
execute_cmd.c,bashjmp.h
execute_cmd.c,bashtypes.h
execute_cmd.c,builtins.h
execute_cmd.c,builtins/builtext.h
execute_cmd.c,builtins/common.c
execute_cmd.c,builtins/common.h
execute_cmd.c,builtins/evalfile.c
execute_cmd.c,builtins/evalstring.c
execute_cmd.c,builtins/mkbuiltins.c
execute_cmd.c,command.h
execute_cmd.c,config-top.h
execute_cmd.c,config.h
execute_cmd.c,copy_cmd.c
execute_cmd.c,dispose_cmd.c
execute_cmd.c,error.c
execute_cmd.c,execute_cmd.h
execute_cmd.c,findcmd.c
execute_cmd.c,findcmd.h
execute_cmd.c,flags.c
execute_cmd.c,flags.h
execute_cmd.c,general.c
execute_cmd.c,general.h
execute_cmd.c,hashcmd.h
execute_cmd.c,hashlib.h
execute_cmd.c,include/chartypes.h
execute_cmd.c,include/filecntl.h
execute_cmd.c,include/gettext.h
execute_cmd.c,include/memalloc.h
execute_cmd.c,include/posixjmp.h
execute_cmd.c,include/posixstat.h
execute_cmd.c,include/posixtime.h
execute_cmd.c,include/stdc.h
execute_cmd.c,jobs.h
execute_cmd.c,lib/glob/strmatch.c
execute_cmd.c,lib/glob/strmatch.h
execute_cmd.c,lib/malloc/malloc.c
execute_cmd.c,lib/sh/fpurge.c
execute_cmd.c,lib/sh/memset.c
execute_cmd.c,lib/sh/oslib.c
execute_cmd.c,lib/sh/stringvec.c
execute_cmd.c,lib/sh/strtrans.c
execute_cmd.c,lib/tilde/tilde.h
